('Alex Rogers', 'BARBARIAN', 'HALFLING', 15187, 20)
('Felicia Kirby', 'SORCERER', 'TIEFLING', 1165, 5)
('Sarah Griffith', 'BARBARIAN', 'HALFLING', 6601, 14)
('Kimberly Benton', 'RANGER', 'HALF_ORC', 283, 7)
('Jonathan Horn', 'BARBARIAN', 'HALF_ELF', 14953, 7)
('Lori Martinez', 'CLERIC', 'HALFLING', 13292, 11)
('Michael Hernandez III', 'BARBARIAN', 'HUMAN', 18054, 19)
('Victor Nunez', 'CLERIC', 'ELF', 2346, 9)
('Brenda Burgess', 'WIZARD', 'GNOME', 11431, 11)
('James Lee', 'SORCERER', 'DWARF', 17568, 20)
('Collin Wood', 'CLERIC', 'TIEFLING', 13252, 3)
('Katie Allen', 'BARD', 'DRAGONBORN', 9958, 2)
('Kristen Sawyer', 'PALADIN', 'GNOME', 2339, 10)
('Kent Gonzales', 'SORCERER', 'HALF_ORC', 14535, 13)
('Jennifer Ward', 'FIGHTER', 'HALFLING', 1601, 1)
('Michelle Chavez', 'DRUID', 'GNOME', 11110, 2)
('Cameron Ruiz', 'PALADIN', 'DRAGONBORN', 10397, 13)
('Scott Becker', 'BARBARIAN', 'TIEFLING', 13909, 13)
('Brianna Melendez', 'WIZARD', 'HALFLING', 8490, 13)
('Andrew Molina', 'PALADIN', 'HUMAN', 12597, 11)
('Jason Stephens', 'SORCERER', 'HALFLING', 8323, 10)
('Ashley Baldwin', 'MONK', 'DWARF', 19355, 20)
('Katherine Villegas', 'BARD', 'ELF', 4713, 5)
('Frank Anthony', 'WIZARD', 'HALF_ELF', 4971, 19)
('Angela Spencer', 'WARLOCK', 'DWARF', 13341, 6)
('Melissa Molina', 'MONK', 'HALFLING', 9121, 13)
('Thomas Clark', 'PALADIN', 'DRAGONBORN', 2636, 6)
('Mr. Julian Cooper', 'BARBARIAN', 'DWARF', 12020, 9)
('Alicia Sullivan', 'BARBARIAN', 'HALFLING', 2629, 15)
('Andrew Myers', 'DRUID', 'HUMAN', 1192, 15)
('Jordan Perez', 'DRUID', 'GNOME', 9648, 11)
('James West', 'PALADIN', 'HALFLING', 10229, 16)
('Brandon Clark', 'WARLOCK', 'HALFLING', 15769, 9)
('Laurie Russell', 'BARBARIAN', 'TIEFLING', 19840, 6)
('Mary Torres', 'RANGER', 'ELF', 13378, 8)
('Monique Watson', 'WIZARD', 'HALF_ORC', 16978, 14)
('Robert Lee', 'CLERIC', 'TIEFLING', 17275, 4)
('Michele Lynch', 'WARLOCK', 'DWARF', 5148, 2)
('Victoria Morgan', 'WARLOCK', 'GNOME', 1670, 10)
('Robert Robinson', 'RANGER', 'HUMAN', 2438, 18)
('Terry Pollard', 'MONK', 'TIEFLING', 18902, 2)
('Cameron Johnson', 'MONK', 'GNOME', 16519, 4)
('Mr. Michael Martin III', 'WARLOCK', 'HALFLING', 11707, 17)
('Joel Smith', 'MONK', 'DWARF', 11817, 3)
('Mrs. Angela Buck', 'PALADIN', 'ELF', 1538, 6)
('Marcus Mcdaniel', 'WARLOCK', 'HALF_ELF', 8089, 16)
('Juan Alexander', 'PALADIN', 'DWARF', 8964, 19)
('Terri Hall', 'ARTIFICER', 'TIEFLING', 5358, 1)
('David Gomez', 'CLERIC', 'DRAGONBORN', 13113, 10)
('Joshua Ruiz', 'SORCERER', 'TIEFLING', 157, 9)
('Madeline Dickerson', 'RANGER', 'HALFLING', 1748, 4)
('Andrew Bullock', 'DRUID', 'DRAGONBORN', 10430, 15)
('Kimberly Tran', 'MONK', 'TIEFLING', 18809, 11)
('Eric Jones', 'ROGUE', 'HALF_ORC', 3630, 12)
('Brandi Watts', 'PALADIN', 'HALF_ELF', 1, 15)
('Craig Duran', 'WARLOCK', 'HUMAN', 6938, 1)
('Henry Brown MD', 'FIGHTER', 'ELF', 4713, 13)
('Stacey Lawrence', 'WARLOCK', 'DWARF', 12203, 1)
('Diana Bush', 'BARD', 'DWARF', 9030, 4)
('Stanley Butler', 'RANGER', 'HALFLING', 5482, 9)
('Darlene Scott', 'MONK', 'TIEFLING', 13799, 6)
('Heidi Welch', 'BARD', 'HALF_ELF', 5925, 16)
('Kendra Morris', 'RANGER', 'ELF', 14637, 12)
('Darren Olson', 'DRUID', 'HALF_ELF', 9039, 8)
('Carl Hall', 'PALADIN', 'GNOME', 10415, 4)
('Angela Drake', 'RANGER', 'DWARF', 2836, 16)
('Michael Williams', 'WIZARD', 'HUMAN', 9773, 3)
('Bradley Haley', 'WIZARD', 'GNOME', 10162, 19)
('Christopher Leon Jr.', 'RANGER', 'HALF_ORC', 4625, 10)
('Bryan Rivers', 'ARTIFICER', 'DRAGONBORN', 1837, 1)
('Mary Williams', 'MONK', 'DRAGONBORN', 19250, 2)
('Steven Spencer', 'RANGER', 'DWARF', 12242, 15)
('Joshua Smith', 'FIGHTER', 'DRAGONBORN', 10981, 9)
('Drew Delacruz', 'ARTIFICER', 'DWARF', 12056, 14)
('Brent Flores', 'PALADIN', 'DRAGONBORN', 14673, 3)
('Kathleen Lam', 'ROGUE', 'HALF_ELF', 14319, 10)
('Patricia Ward', 'BARBARIAN', 'DWARF', 10450, 10)
('Danny Suarez', 'BARBARIAN', 'ELF', 5597, 7)
('Sandra Rosales', 'WIZARD', 'HALF_ORC', 9829, 3)
('Elizabeth Klein', 'PALADIN', 'GNOME', 15381, 5)
('Michael Orozco', 'BARD', 'TIEFLING', 1504, 13)
('Andrew Cardenas', 'SORCERER', 'HALF_ELF', 844, 12)
('Michele Stafford', 'PALADIN', 'ELF', 8214, 11)
('Shannon Griffin', 'WARLOCK', 'DRAGONBORN', 9693, 16)
('Darius Stewart', 'MONK', 'HALF_ORC', 12812, 8)
('Christina Estrada', 'DRUID', 'DRAGONBORN', 14706, 14)
('Craig Costa', 'BARD', 'TIEFLING', 7585, 1)
('Jesse Cordova', 'ARTIFICER', 'HUMAN', 16728, 20)
('Robert Mills', 'ARTIFICER', 'HALF_ORC', 1239, 7)
('Joseph Preston', 'CLERIC', 'HALFLING', 3495, 16)
('Lisa Arnold', 'WIZARD', 'DWARF', 3288, 16)
('Karen Smith', 'RANGER', 'TIEFLING', 5589, 6)
('Robert Williams', 'FIGHTER', 'HALF_ELF', 12710, 7)
('Elizabeth Valdez', 'MONK', 'DWARF', 1800, 13)
('Daniel Banks', 'ROGUE', 'ELF', 8895, 7)
('Carrie Anderson', 'DRUID', 'DRAGONBORN', 15246, 9)
('Candace Martinez', 'FIGHTER', 'ELF', 9690, 2)
('Sherry Mullins', 'ARTIFICER', 'DRAGONBORN', 19848, 7)
('Holly Johnson', 'BARBARIAN', 'DRAGONBORN', 17428, 19)
('Casey Payne', 'BARD', 'ELF', 7455, 10)
('Cindy Brown', 'MONK', 'DWARF', 1748, 11)
('Christina Baldwin', 'PALADIN', 'HALFLING', 8653, 7)
('Robert Brown', 'ROGUE', 'GNOME', 18471, 16)
('Sara Hernandez', 'DRUID', 'GNOME', 4711, 3)
('Amber Dunn', 'BARBARIAN', 'HUMAN', 12148, 4)
('Jesse Williams', 'ARTIFICER', 'ELF', 2894, 8)
('Penny Chavez', 'PALADIN', 'GNOME', 1, 4)
('Lori Byrd', 'SORCERER', 'DWARF', 13211, 20)
('Jacqueline Smith', 'WIZARD', 'HALFLING', 17759, 14)
('Brandon Mathews', 'WARLOCK', 'HALFLING', 11753, 6)
('Mrs. Lisa Rose DDS', 'BARBARIAN', 'DWARF', 4799, 17)
('Angela Wade', 'WIZARD', 'HALFLING', 14362, 1)
('Cindy Ellis', 'CLERIC', 'GNOME', 12465, 8)
('Paul Campbell', 'SORCERER', 'HUMAN', 16115, 18)
('Amy Wagner', 'RANGER', 'DWARF', 2067, 5)
('Francisco Clark', 'WARLOCK', 'TIEFLING', 1659, 7)
('John Williams', 'MONK', 'TIEFLING', 13355, 15)
('Tanya White', 'ROGUE', 'HUMAN', 3936, 3)
('Tiffany Tucker', 'FIGHTER', 'DWARF', 6780, 18)
('Nicole Stewart', 'CLERIC', 'HALFLING', 14586, 18)
('Cheryl Hopkins', 'DRUID', 'GNOME', 1354, 19)
('Katherine Donovan', 'RANGER', 'HALF_ORC', 5905, 3)
('Kenneth Webb', 'BARD', 'HUMAN', 593, 18)
('Melissa Crane', 'ROGUE', 'ELF', 12118, 10)
('Veronica Cameron', 'RANGER', 'ELF', 6124, 11)
('Anthony Summers', 'FIGHTER', 'HALFLING', 2073, 2)
('Andrew George', 'WARLOCK', 'HALF_ORC', 2482, 1)
('Katie Gonzalez', 'MONK', 'HALFLING', 11811, 20)
('Margaret Young', 'FIGHTER', 'ELF', 4993, 20)
('Jessica Torres', 'DRUID', 'TIEFLING', 8722, 14)
('Alejandro Poole', 'DRUID', 'TIEFLING', 18663, 14)
('Kelly Coleman', 'PALADIN', 'HALF_ELF', 8115, 2)
('Randy Fuentes', 'MONK', 'DRAGONBORN', 12142, 20)
('Rebekah Douglas', 'RANGER', 'GNOME', 11463, 8)
('Nathan Norris', 'BARD', 'HALF_ORC', 2913, 9)
('Frank Robinson', 'DRUID', 'TIEFLING', 14125, 7)
('Debra Anderson', 'SORCERER', 'DRAGONBORN', 15198, 9)
('Emily Ho', 'SORCERER', 'TIEFLING', 8188, 5)
('Wayne Kelley', 'WIZARD', 'HALF_ORC', 6237, 7)
('Erin Bush', 'BARBARIAN', 'HALFLING', 2354, 6)
('Ethan Mendoza', 'BARD', 'GNOME', 11361, 9)
('Deborah Harris', 'RANGER', 'DWARF', 14770, 14)
('Brian Malone', 'FIGHTER', 'TIEFLING', 16897, 16)
('Jason Ford', 'WARLOCK', 'DRAGONBORN', 15862, 1)
('Christina Mayo', 'SORCERER', 'HALFLING', 18486, 16)
('Kimberly Howell', 'ARTIFICER', 'DRAGONBORN', 18673, 6)
('Anthony Martinez', 'BARD', 'TIEFLING', 461, 19)
('Ashley Barnes', 'BARD', 'ELF', 976, 17)
('Juan Holt', 'RANGER', 'GNOME', 10711, 9)
('Todd Roman', 'ROGUE', 'HALF_ORC', 13808, 18)
('Edward Macdonald', 'BARD', 'HUMAN', 10550, 13)
('Mitchell Smith', 'WARLOCK', 'DRAGONBORN', 8053, 11)
('Justin Smith', 'WIZARD', 'HALFLING', 12271, 16)
('Tracy Taylor', 'BARD', 'DRAGONBORN', 11089, 14)
('Patricia Hamilton', 'CLERIC', 'HALF_ELF', 9904, 14)
('Joshua Lynch', 'DRUID', 'HALF_ORC', 14758, 6)
('Carla Baker', 'WIZARD', 'HALF_ORC', 16067, 12)
('Donald Patterson', 'RANGER', 'HALF_ELF', 184, 14)
('Melissa Stewart', 'MONK', 'ELF', 12766, 8)
('Carla Alvarez', 'RANGER', 'ELF', 2665, 6)
('Ashley Johnson', 'BARBARIAN', 'DRAGONBORN', 12501, 6)
('Andrew Doyle', 'CLERIC', 'HALFLING', 7636, 2)
('Samuel Williams', 'ROGUE', 'DRAGONBORN', 4398, 4)
('Scott Clark', 'CLERIC', 'ELF', 2142, 8)
('Christina Richardson', 'ROGUE', 'DRAGONBORN', 17150, 2)
('Deborah Davis', 'RANGER', 'DRAGONBORN', 515, 8)
('Pamela Chavez', 'BARD', 'TIEFLING', 229, 17)
('David Nelson', 'SORCERER', 'HALFLING', 1972, 15)
('Kristy Lopez', 'CLERIC', 'HALFLING', 13103, 16)
('Randall Grimes', 'FIGHTER', 'TIEFLING', 13252, 9)
('Kristen Pena', 'CLERIC', 'HALF_ORC', 11591, 20)
('Dr. Steven Jones', 'BARBARIAN', 'HALFLING', 2438, 3)
('Jason York', 'WIZARD', 'HALF_ELF', 6030, 4)
('Robert Rubio Jr.', 'BARD', 'HALF_ORC', 15089, 11)
('Matthew Green', 'BARBARIAN', 'HUMAN', 13167, 10)
('Andrew Baker', 'WIZARD', 'HALF_ELF', 7308, 1)
('Michael Hawkins', 'WARLOCK', 'HUMAN', 8867, 5)
('Frank Anderson', 'PALADIN', 'HALFLING', 7162, 11)
('Sheila Proctor', 'BARD', 'HALF_ELF', 18227, 7)
('Mrs. Patricia Parker DVM', 'PALADIN', 'GNOME', 4198, 17)
('Caitlin Stewart', 'CLERIC', 'TIEFLING', 19093, 12)
('Sarah Moore', 'CLERIC', 'GNOME', 13419, 17)
('Kayla Nicholson', 'FIGHTER', 'HALF_ELF', 19781, 15)
('Jessica Reed', 'BARBARIAN', 'HALFLING', 11358, 18)
('Shelly Paul', 'PALADIN', 'TIEFLING', 12654, 4)
('Ashley Harrison', 'CLERIC', 'ELF', 2850, 5)
('Roy Watson', 'DRUID', 'DRAGONBORN', 13321, 9)
('Kimberly Griffin', 'SORCERER', 'HALF_ELF', 16026, 20)
('Ryan Graves', 'ROGUE', 'HALF_ORC', 3732, 2)
('Michael Wagner', 'FIGHTER', 'HALF_ORC', 8523, 1)
('Melissa Shaw', 'MONK', 'DWARF', 12771, 13)
('Jon Nichols', 'ARTIFICER', 'HUMAN', 5048, 5)
('Brady Good', 'FIGHTER', 'DWARF', 1424, 8)
('Abigail James MD', 'WIZARD', 'HALFLING', 14358, 14)
('Bryan Adkins', 'BARD', 'ELF', 11657, 12)
('Jacqueline Williams', 'ROGUE', 'DWARF', 6955, 13)
('Paige Smith', 'BARD', 'HALF_ELF', 18589, 20)
('Cheryl Murray', 'WARLOCK', 'TIEFLING', 12739, 4)
('Holly Hood', 'MONK', 'DWARF', 5288, 17)
('Carl Johnson', 'BARD', 'HALF_ORC', 843, 19)
('David Garrett', 'WARLOCK', 'DRAGONBORN', 19283, 3)
('David Arnold', 'ARTIFICER', 'GNOME', 17270, 14)
('Michael Juarez', 'MONK', 'GNOME', 14861, 2)
('Melissa Mullen', 'MONK', 'GNOME', 18609, 10)
('Daniel Hanson', 'PALADIN', 'DWARF', 18523, 9)
('Alexis Moore', 'ROGUE', 'GNOME', 6577, 10)
('Christopher Harvey', 'ARTIFICER', 'GNOME', 15417, 4)
('Xavier Diaz', 'WARLOCK', 'GNOME', 3394, 9)
('Cassandra Hernandez', 'BARBARIAN', 'DWARF', 615, 16)
('Robin Mann', 'PALADIN', 'TIEFLING', 16343, 20)
('Scott Graves', 'SORCERER', 'HALF_ORC', 19368, 19)
('James Sosa', 'CLERIC', 'HALF_ORC', 1994, 17)
('Mary Bailey', 'CLERIC', 'DWARF', 14015, 19)
('Michelle Jackson', 'ARTIFICER', 'HALFLING', 8102, 14)
('Katie Bennett', 'SORCERER', 'ELF', 6269, 11)
('Adam Gonzalez', 'MONK', 'HUMAN', 9301, 14)
('Dawn Sherman', 'ARTIFICER', 'HALF_ORC', 14268, 13)
('Kristine Nguyen', 'BARD', 'HUMAN', 1096, 7)
('Sean Nelson', 'RANGER', 'DRAGONBORN', 10301, 16)
('Jonathan Rhodes', 'PALADIN', 'TIEFLING', 5036, 7)
('Kevin Torres', 'BARD', 'HALFLING', 4954, 16)
('Kimberly Butler', 'SORCERER', 'GNOME', 13987, 20)
('Nicholas Porter', 'DRUID', 'HALF_ELF', 17481, 20)
('Mr. Michael Rojas', 'WIZARD', 'HUMAN', 3021, 2)
('Laura Bennett', 'ARTIFICER', 'DWARF', 1732, 7)
('Amber Johnson', 'PALADIN', 'GNOME', 6422, 9)
('Bryan Hunt', 'RANGER', 'HUMAN', 16443, 14)
('Sandra Wright', 'CLERIC', 'ELF', 8983, 19)
('Timothy Vasquez', 'PALADIN', 'GNOME', 6271, 9)
('Shawn Johnson', 'MONK', 'HALF_ELF', 19586, 15)
('Sharon Jones', 'DRUID', 'HALFLING', 16381, 18)
('Tina Figueroa', 'ROGUE', 'GNOME', 8494, 3)
('Sara Brady', 'ARTIFICER', 'HALFLING', 17059, 4)
('Victoria Andersen', 'ROGUE', 'HALF_ELF', 17913, 14)
('Tina Parsons', 'WIZARD', 'HALFLING', 12851, 5)
('Mary Davis', 'SORCERER', 'HUMAN', 7047, 6)
('Blake Horton', 'WARLOCK', 'HALF_ORC', 12559, 8)
('Steven Clark', 'BARD', 'HUMAN', 10509, 3)
('Debra Smith', 'ARTIFICER', 'ELF', 3481, 15)
('Lindsay Smith', 'FIGHTER', 'DWARF', 7714, 14)
('Tiffany French', 'MONK', 'TIEFLING', 9098, 10)
('Sarah Kerr', 'ROGUE', 'DRAGONBORN', 5848, 5)
('Krista Mack', 'PALADIN', 'HALFLING', 15871, 16)
('Mark Johnston PhD', 'DRUID', 'GNOME', 15192, 17)
('Michelle Blake', 'PALADIN', 'TIEFLING', 3659, 4)
('Elizabeth Young', 'BARD', 'HUMAN', 4648, 16)
('Joyce Hill', 'FIGHTER', 'DWARF', 10000, 20)
('Shaun Smith', 'CLERIC', 'ELF', 3160, 20)
('Heather Harris', 'ROGUE', 'GNOME', 16286, 12)
('Mary Taylor', 'WIZARD', 'HALF_ORC', 8002, 19)
('Joshua Rivera', 'BARD', 'HALFLING', 341, 10)
('Harry Pacheco', 'FIGHTER', 'DWARF', 10234, 9)
('Joshua Rodriguez', 'MONK', 'HALFLING', 5799, 6)
('James Contreras', 'ARTIFICER', 'HALFLING', 9272, 4)
('Bradley Garcia', 'FIGHTER', 'DWARF', 2727, 8)
('Christine Webster', 'MONK', 'DWARF', 3506, 1)
('Christopher Lee', 'RANGER', 'DWARF', 3524, 10)
('Benjamin English', 'WARLOCK', 'HALFLING', 14759, 10)
('Mark Jacobs', 'WIZARD', 'HALFLING', 15484, 5)
('Tonya Myers', 'CLERIC', 'TIEFLING', 18737, 13)
('Debbie Hartman', 'SORCERER', 'ELF', 19813, 19)
('Ms. Jessica Briggs DDS', 'CLERIC', 'TIEFLING', 16076, 11)
('Bryan Watson', 'DRUID', 'DWARF', 4205, 12)
('Ronald Carrillo', 'DRUID', 'ELF', 14840, 18)
('Heidi Harrison', 'SORCERER', 'GNOME', 9833, 5)
('Jerry Monroe', 'FIGHTER', 'ELF', 7500, 1)
('Bradley Davidson', 'BARD', 'HUMAN', 2195, 18)
('Amy Richardson', 'BARBARIAN', 'ELF', 5773, 17)
('Alice Haynes', 'CLERIC', 'HALF_ELF', 5280, 12)
('John Mccarthy', 'PALADIN', 'HALF_ELF', 10336, 3)
('Nicholas Marks', 'RANGER', 'HALF_ELF', 2310, 18)
('Jamie Jones', 'ARTIFICER', 'DRAGONBORN', 1993, 20)
('Brianna Parsons', 'DRUID', 'DWARF', 2232, 12)
('Thomas Adams', 'MONK', 'DWARF', 7409, 3)
('Danielle Miller', 'ARTIFICER', 'DRAGONBORN', 11421, 2)
('Shannon Dawson', 'WARLOCK', 'ELF', 13760, 11)
('Charles Mcpherson', 'SORCERER', 'HALFLING', 729, 3)
('Jason Larsen', 'MONK', 'HALF_ELF', 11227, 15)
('Jeremy Lopez', 'SORCERER', 'HUMAN', 19518, 9)
('Marcia Lynch', 'CLERIC', 'HALF_ELF', 11522, 6)
('Angela Kelley', 'WIZARD', 'TIEFLING', 13429, 4)
('Samantha Rodgers', 'SORCERER', 'HALFLING', 16923, 8)
('Hailey Smith', 'WARLOCK', 'ELF', 18058, 14)
('Thomas Strong', 'DRUID', 'HALF_ELF', 18809, 6)
('Larry Rodriguez', 'DRUID', 'HUMAN', 13089, 12)
('Gary Hernandez', 'SORCERER', 'HUMAN', 3654, 18)
('Robert Zavala', 'SORCERER', 'HALF_ELF', 9098, 15)
('Derek Green', 'BARBARIAN', 'DWARF', 7165, 17)
('Kathryn Rivers', 'WARLOCK', 'HUMAN', 5047, 7)
('Victoria Moore', 'FIGHTER', 'GNOME', 9928, 5)
('Judith Cole', 'MONK', 'TIEFLING', 11687, 11)
('Janice Collins', 'MONK', 'ELF', 2454, 5)
('James Preston', 'BARBARIAN', 'HUMAN', 3595, 4)
('Lynn Haynes', 'DRUID', 'DRAGONBORN', 10720, 14)
('Mary Jones', 'CLERIC', 'ELF', 516, 8)
('Sarah Hayes', 'RANGER', 'GNOME', 17877, 12)
('Cynthia Alvarez', 'BARD', 'HALF_ORC', 2806, 15)
('Laurie Clark MD', 'RANGER', 'TIEFLING', 4738, 10)
('Mark Page', 'PALADIN', 'DWARF', 38, 16)
('Ann Gonzalez', 'FIGHTER', 'ELF', 7284, 11)
('Courtney Russell', 'FIGHTER', 'HALFLING', 9651, 1)
('Charles Jenkins', 'ROGUE', 'DWARF', 12865, 15)
('Daniel Simmons', 'SORCERER', 'HALF_ELF', 1861, 17)
('Jennifer Knight', 'MONK', 'HUMAN', 14970, 19)
('Chris Moore', 'CLERIC', 'ELF', 4490, 17)
('Alison Johnson', 'DRUID', 'HALFLING', 17756, 20)
('Teresa Monroe', 'WIZARD', 'ELF', 686, 13)
('David Contreras', 'RANGER', 'TIEFLING', 18220, 10)
('Lisa Collins', 'DRUID', 'HUMAN', 7885, 5)
('Casey Mcdonald', 'PALADIN', 'ELF', 18883, 19)
('Joseph Bell', 'SORCERER', 'ELF', 3795, 17)
('Michael Spencer', 'ARTIFICER', 'HALF_ORC', 19196, 20)
('Christina Johnson', 'WIZARD', 'TIEFLING', 17767, 20)
('Sylvia Miller', 'ARTIFICER', 'DWARF', 8320, 4)
('Edward Gonzalez', 'PALADIN', 'GNOME', 13831, 1)
('Kathleen Stone', 'FIGHTER', 'HALF_ORC', 11667, 15)
('Brian Gregory', 'WARLOCK', 'GNOME', 14226, 4)
('Phillip Gardner', 'RANGER', 'ELF', 2127, 15)
('Ryan Brown', 'SORCERER', 'TIEFLING', 16344, 20)
('Alexander Ross', 'DRUID', 'HUMAN', 17075, 20)
('Brandon Hernandez', 'ROGUE', 'HALFLING', 16407, 14)
('Stephanie Moon', 'DRUID', 'TIEFLING', 17911, 2)
('Eric Wright', 'WIZARD', 'DWARF', 8747, 19)
('Paige Schneider', 'BARBARIAN', 'HUMAN', 6587, 1)
('Mark Garcia', 'FIGHTER', 'HALF_ELF', 19360, 20)
('Daniel Gray', 'FIGHTER', 'HALF_ELF', 11028, 19)
('Laura Woods', 'MONK', 'HALF_ELF', 626, 17)
('Nicholas Schneider', 'WARLOCK', 'DWARF', 13682, 15)
('Joshua Wright', 'PALADIN', 'ELF', 11436, 13)
('Antonio Wells Jr.', 'DRUID', 'HALF_ORC', 3577, 14)
('Melissa Benson', 'WIZARD', 'TIEFLING', 11844, 15)
('James Floyd', 'ROGUE', 'HALFLING', 18998, 10)
('Cynthia Davis', 'ROGUE', 'HUMAN', 18398, 16)
('Paul Ruiz', 'MONK', 'ELF', 5336, 19)
('Nicole Cline', 'RANGER', 'HALF_ELF', 2876, 9)
('Valerie Rice', 'RANGER', 'TIEFLING', 19714, 9)
('Cynthia Tate', 'CLERIC', 'HALFLING', 17039, 18)
('Carl Hurley', 'DRUID', 'DRAGONBORN', 17153, 17)
('Nicole Francis', 'MONK', 'HUMAN', 14375, 16)
('Jennifer Larson', 'SORCERER', 'TIEFLING', 15483, 20)
('Kimberly Vega', 'RANGER', 'ELF', 7044, 20)
('Lisa Moore', 'SORCERER', 'DWARF', 3638, 15)
('Christine Anderson', 'PALADIN', 'HALF_ORC', 16544, 14)
('Sharon Short', 'WARLOCK', 'HALF_ELF', 3862, 9)
('Candace Perry', 'CLERIC', 'ELF', 764, 16)
('Gregory Cochran', 'BARD', 'TIEFLING', 4534, 13)
('Amanda Graves', 'ARTIFICER', 'ELF', 11049, 13)
('Christine Hernandez', 'FIGHTER', 'HALF_ORC', 9836, 6)
('Brooke Schmidt', 'ROGUE', 'GNOME', 6940, 7)
('William Costa', 'WARLOCK', 'GNOME', 7688, 10)
('Garrett Cobb', 'WIZARD', 'GNOME', 7386, 3)
('Sara Garcia', 'ROGUE', 'HUMAN', 15597, 15)
('Robert Todd', 'SORCERER', 'TIEFLING', 2504, 3)
('John Kelly', 'FIGHTER', 'ELF', 6162, 2)
('Kristin Gilbert', 'WIZARD', 'DRAGONBORN', 9993, 6)
('Jared Hood', 'BARBARIAN', 'HUMAN', 4321, 18)
('Abigail Meadows', 'FIGHTER', 'TIEFLING', 7373, 4)
('Kelly Miller', 'WARLOCK', 'ELF', 6023, 17)
('Miguel Ruiz', 'SORCERER', 'ELF', 14106, 14)
('Jesse Edwards', 'BARD', 'TIEFLING', 3279, 15)
('Chelsey Lam', 'WARLOCK', 'HUMAN', 3605, 3)
('Juan Watson', 'RANGER', 'HALFLING', 2238, 13)
('Matthew Campbell', 'MONK', 'HALF_ELF', 4056, 19)
('Kent Hernandez', 'BARD', 'HALF_ORC', 13783, 18)
('Daniel Sanders', 'RANGER', 'DRAGONBORN', 15450, 5)
('Samantha Young', 'RANGER', 'HALFLING', 3052, 9)
('Christy Campbell', 'SORCERER', 'HUMAN', 19950, 11)
('Brooke Phillips', 'ARTIFICER', 'HUMAN', 5129, 13)
('Daniel Castillo Jr.', 'BARD', 'HALFLING', 16366, 16)
('John Campbell', 'BARBARIAN', 'HALF_ELF', 638, 13)
('Scott Anderson', 'CLERIC', 'DWARF', 8956, 5)
('Jeremy Johnson', 'FIGHTER', 'HALF_ELF', 17618, 20)
('Philip Baldwin', 'RANGER', 'HALFLING', 14631, 5)
('Victor Rivera', 'MONK', 'TIEFLING', 15025, 9)
('Caroline Santos', 'RANGER', 'GNOME', 6764, 12)
('Denise Ross DDS', 'PALADIN', 'DRAGONBORN', 2910, 10)
('Crystal Hurley', 'WARLOCK', 'HALF_ORC', 9263, 2)
('Dana Brown', 'DRUID', 'HALF_ORC', 9789, 20)
('Molly Todd', 'CLERIC', 'GNOME', 4586, 3)
('Joseph Meadows', 'MONK', 'HALF_ORC', 7729, 19)
('Daniel Smith', 'ARTIFICER', 'GNOME', 12052, 9)
('Kimberly Price', 'DRUID', 'GNOME', 8868, 7)
('David Ramirez', 'ROGUE', 'ELF', 18606, 3)
('Tammie Dunlap MD', 'DRUID', 'HALFLING', 15389, 17)
('Paul Coleman', 'RANGER', 'TIEFLING', 19729, 9)
('Sandra Ramsey', 'MONK', 'DRAGONBORN', 4707, 16)
('Bradley Price', 'RANGER', 'GNOME', 18594, 13)
('Ryan Stephenson', 'PALADIN', 'HALF_ORC', 1281, 10)
('Rhonda Martinez', 'WIZARD', 'HUMAN', 15612, 11)
('Kathryn Waller', 'MONK', 'HALFLING', 11779, 13)
('Mark Fuentes', 'FIGHTER', 'DWARF', 7843, 20)
('Brandon Garcia', 'BARBARIAN', 'GNOME', 9328, 6)
('Hannah Fuentes', 'BARBARIAN', 'TIEFLING', 16372, 19)
('Blake Short', 'ARTIFICER', 'GNOME', 6024, 1)
('Deanna Russo', 'BARBARIAN', 'HUMAN', 7449, 12)
('Kyle Mcknight', 'MONK', 'HALFLING', 15622, 18)
('Ana Pierce', 'WARLOCK', 'DRAGONBORN', 7854, 4)
('Laura Hayes', 'BARBARIAN', 'ELF', 7257, 18)
('Corey Ellison', 'MONK', 'GNOME', 7468, 14)
('Ashley Obrien', 'BARD', 'HUMAN', 1843, 9)
('Brian Lynch MD', 'SORCERER', 'GNOME', 10715, 16)
('Heather Miller', 'ARTIFICER', 'HALF_ORC', 18667, 12)
('Christy King', 'SORCERER', 'HALF_ORC', 9230, 8)
('Phillip Velez', 'PALADIN', 'DRAGONBORN', 11808, 17)
('Courtney Morris', 'CLERIC', 'HUMAN', 2574, 11)
('Stephanie Schneider', 'WIZARD', 'TIEFLING', 6726, 3)
('Lisa Bond', 'FIGHTER', 'HALF_ORC', 2807, 19)
('John Bryan', 'RANGER', 'HALF_ELF', 12934, 11)
('Lauren Walter', 'PALADIN', 'GNOME', 4336, 17)
('Rachel Weber', 'MONK', 'HALF_ORC', 18580, 15)
('Linda Burgess', 'ROGUE', 'HALF_ELF', 14693, 14)
('Patrick Sullivan', 'WIZARD', 'DWARF', 19951, 1)
('Kimberly Bryant', 'DRUID', 'DWARF', 12261, 20)
('Daniel Lane', 'RANGER', 'ELF', 6349, 17)
('Jocelyn Smith', 'ROGUE', 'ELF', 13721, 11)
('Mary Douglas', 'SORCERER', 'HALF_ORC', 16707, 19)
('Jay Smith', 'RANGER', 'DWARF', 18336, 16)
