('Michael Hall', 'FIGHTER', 'HALF_ELF', 17915, 7)
('Jennifer Sullivan', 'ROGUE', 'ELF', 9564, 7)
('Pamela Williamson', 'FIGHTER', 'HUMAN', 14952, 15)
('Tyler Chambers', 'FIGHTER', 'HALFLING', 16255, 12)
('Christopher Quinn III', 'CLERIC', 'HALF_ORC', 6782, 11)
('Heather Marshall', 'BARBARIAN', 'GNOME', 2643, 9)
('Rodney Taylor', 'BARD', 'TIEFLING', 17355, 7)
('Becky Smith', 'DRUID', 'DRAGONBORN', 10394, 18)
('Mary Chambers', 'SORCERER', 'DWARF', 8673, 2)
('Gina Charles', 'FIGHTER', 'ELF', 6207, 7)
('Steven Ellis', 'DRUID', 'DRAGONBORN', 18118, 11)
('Cody Perry', 'DRUID', 'DRAGONBORN', 17336, 5)
('Edward Campos', 'CLERIC', 'HALFLING', 15692, 2)
('Stacey Stewart', 'PALADIN', 'HUMAN', 3008, 17)
('Stacey Cannon', 'CLERIC', 'GNOME', 7504, 4)
('John Fernandez', 'BARBARIAN', 'ELF', 5388, 12)
('Matthew Logan', 'CLERIC', 'DWARF', 1856, 5)
('Jacob Porter', 'DRUID', 'ELF', 19488, 15)
('Timothy Smith', 'RANGER', 'DWARF', 2490, 7)
('Richard Jones', 'MONK', 'HALF_ELF', 9735, 17)
('Ryan Yates', 'FIGHTER', 'DWARF', 8792, 5)
('Nathan Fischer', 'WARLOCK', 'DWARF', 5710, 18)
('Chad Hickman', 'RANGER', 'TIEFLING', 12785, 6)
('Charles Sanchez', 'ARTIFICER', 'DWARF', 19340, 2)
('Matthew Mckee', 'CLERIC', 'HALF_ORC', 1314, 16)
('Kenneth Bowman', 'FIGHTER', 'GNOME', 10830, 14)
('Nicholas Meyer', 'WARLOCK', 'DWARF', 15987, 14)
('Tammy Williams', 'BARD', 'HALF_ORC', 14278, 14)
('Ronald Torres', 'SORCERER', 'GNOME', 15212, 14)
('Kari Holden', 'DRUID', 'HUMAN', 1379, 13)
('Louis Dominguez', 'ROGUE', 'HALFLING', 6803, 13)
('Emily Rich', 'ROGUE', 'DRAGONBORN', 6734, 12)
('Amanda Walker', 'WIZARD', 'ELF', 12076, 16)
('Philip Hampton', 'RANGER', 'HALF_ELF', 6704, 3)
('Natasha Bradford', 'BARD', 'HUMAN', 7054, 19)
('Elizabeth Mcmillan', 'WIZARD', 'GNOME', 4786, 8)
('Scott Robertson', 'ARTIFICER', 'HALFLING', 17457, 18)
('Roy Rios', 'SORCERER', 'GNOME', 4375, 18)
('Laura Bryant', 'BARD', 'DWARF', 19717, 5)
('Stephanie Moore', 'RANGER', 'HALF_ORC', 9119, 1)
('Lindsay Medina DVM', 'WIZARD', 'HALFLING', 9265, 12)
('Joshua Baker', 'WARLOCK', 'GNOME', 2551, 6)
('Sarah Pierce', 'DRUID', 'HUMAN', 15146, 3)
('Tanya Shepherd', 'DRUID', 'HUMAN', 227, 8)
('Carolyn Lynch', 'ROGUE', 'DRAGONBORN', 14682, 3)
('Glenn Marshall', 'WIZARD', 'HALFLING', 11111, 13)
('Jared Harrison', 'BARD', 'HALFLING', 2747, 2)
('Cameron Adams', 'BARD', 'HALF_ELF', 10597, 20)
('Sean Williams', 'WARLOCK', 'HALFLING', 11341, 4)
('Kelly Harris', 'FIGHTER', 'HUMAN', 17594, 4)
('Nicholas Garza', 'WARLOCK', 'TIEFLING', 15981, 10)
('Diane Anderson', 'ROGUE', 'HALF_ORC', 12171, 6)
('Mindy Sullivan', 'MONK', 'HALF_ELF', 8022, 2)
('Logan Martinez', 'DRUID', 'GNOME', 15778, 9)
('Bruce Black', 'BARD', 'HUMAN', 2512, 19)
('Zachary Monroe', 'RANGER', 'HALFLING', 1876, 18)
('Tina Barber', 'BARD', 'ELF', 1249, 12)
('Kelly Nash', 'ROGUE', 'HALF_ORC', 5198, 15)
('Patrick Love', 'WIZARD', 'DWARF', 3545, 12)
('Amanda Mendoza', 'WARLOCK', 'HUMAN', 4616, 9)
('Heather Berry', 'CLERIC', 'GNOME', 15521, 5)
('Michele Patton', 'SORCERER', 'HALFLING', 11358, 14)
('Paul Frank', 'MONK', 'HALF_ELF', 17896, 17)
('Tonya Moran', 'RANGER', 'TIEFLING', 7199, 4)
('Brian Little', 'WIZARD', 'DRAGONBORN', 4431, 16)
('Reginald Sullivan', 'ARTIFICER', 'HALF_ORC', 5370, 20)
('Jordan Page', 'MONK', 'GNOME', 14540, 15)
('Nicole Kirk', 'BARD', 'DRAGONBORN', 9530, 4)
('Carol Turner', 'CLERIC', 'DWARF', 16744, 20)
('Laura Hall', 'MONK', 'HALF_ORC', 16690, 18)
('Joseph Newman', 'WIZARD', 'HUMAN', 1719, 7)
('David Tran', 'BARBARIAN', 'GNOME', 19521, 4)
('Christine Peck', 'ARTIFICER', 'TIEFLING', 18667, 3)
('Nathan Ramirez', 'ROGUE', 'DRAGONBORN', 9424, 5)
('George Jenkins', 'BARD', 'HALFLING', 15056, 7)
('James Walters', 'RANGER', 'HUMAN', 13222, 18)
('Connie Rollins', 'ROGUE', 'TIEFLING', 1330, 15)
('John Shepard', 'MONK', 'HALF_ORC', 7861, 10)
('Frank Mcdowell', 'ARTIFICER', 'HALF_ELF', 19740, 8)
('Anthony Jones', 'WIZARD', 'TIEFLING', 15181, 6)
('Jennifer Hayes', 'RANGER', 'DRAGONBORN', 1338, 9)
('Anthony Mccoy', 'SORCERER', 'ELF', 3293, 9)
('Matthew Phillips', 'SORCERER', 'GNOME', 8910, 18)
('Lisa Simmons', 'SORCERER', 'HALF_ELF', 18417, 4)
('Tanya Johnson', 'CLERIC', 'TIEFLING', 13967, 1)
('Veronica Rosario', 'ROGUE', 'HALFLING', 331, 4)
('Jeffrey Bruce', 'BARD', 'TIEFLING', 15586, 20)
('Wyatt Lawrence', 'WARLOCK', 'HALF_ELF', 11899, 6)
('Morgan Duncan', 'ROGUE', 'DRAGONBORN', 4755, 7)
('Erin Mendez', 'WARLOCK', 'GNOME', 16886, 5)
('Jordan Nelson', 'MONK', 'HALF_ORC', 9367, 19)
('Steven Luna', 'BARBARIAN', 'HALF_ELF', 17665, 18)
('George Schwartz', 'CLERIC', 'ELF', 4098, 7)
('Mario Dixon', 'RANGER', 'ELF', 12480, 10)
('Bridget Johnson', 'ROGUE', 'HALF_ELF', 291, 2)
('Devin Patel MD', 'SORCERER', 'DRAGONBORN', 6159, 19)
('Brianna Hubbard', 'ROGUE', 'HUMAN', 14489, 11)
('Matthew Harding', 'WIZARD', 'ELF', 1360, 19)
('Joanna Johnson', 'ROGUE', 'DWARF', 19162, 1)
('Joshua Hardy', 'WARLOCK', 'GNOME', 141, 15)
('James Lynn', 'SORCERER', 'ELF', 11591, 17)
('Christina Beck', 'DRUID', 'HALF_ELF', 10599, 10)
('Andrea Clarke', 'DRUID', 'DWARF', 11783, 4)
('Amber Hernandez', 'DRUID', 'HALF_ELF', 4033, 5)
('Carolyn Richardson', 'WARLOCK', 'HALFLING', 4219, 10)
('Bryan Mcmillan', 'CLERIC', 'DRAGONBORN', 14913, 4)
('Andrea Wallace', 'ROGUE', 'HALF_ORC', 9372, 8)
('Carolyn Chambers', 'WARLOCK', 'ELF', 17182, 8)
('Charles Waters', 'ARTIFICER', 'TIEFLING', 14809, 6)
('Ashley Martin', 'FIGHTER', 'HUMAN', 4642, 8)
('Johnny Brewer', 'ROGUE', 'HUMAN', 12073, 14)
('Ashley Craig', 'RANGER', 'HALF_ORC', 6919, 15)
('Darrell Fox', 'ARTIFICER', 'HALF_ORC', 8742, 15)
('April Johnson', 'ARTIFICER', 'DRAGONBORN', 3449, 2)
('Jackson Hunt', 'FIGHTER', 'TIEFLING', 1223, 17)
('Virginia Diaz', 'BARD', 'GNOME', 15140, 1)
('Jonathan Jones', 'SORCERER', 'HALF_ELF', 1792, 17)
('Ryan Bailey', 'WARLOCK', 'DRAGONBORN', 2599, 13)
('Johnny Dominguez', 'ROGUE', 'TIEFLING', 5155, 10)
('Kayla Moore', 'BARD', 'HUMAN', 16721, 7)
('John Murphy', 'CLERIC', 'HUMAN', 11257, 7)
('Rachel Hawkins', 'MONK', 'HALF_ELF', 3014, 13)
('Jack Benton', 'MONK', 'GNOME', 13653, 13)
('Richard Robinson', 'RANGER', 'DRAGONBORN', 18581, 15)
('Sarah Gonzales', 'BARBARIAN', 'ELF', 18354, 14)
('Angela Williams', 'SORCERER', 'GNOME', 11458, 15)
('Mackenzie Gonzalez', 'RANGER', 'HALF_ORC', 12938, 14)
('Michael Hines', 'WARLOCK', 'GNOME', 7445, 11)
('Eric Williams', 'FIGHTER', 'HALF_ELF', 14110, 6)
('Kelly Yoder', 'WIZARD', 'HUMAN', 19128, 8)
('Wayne Carter PhD', 'MONK', 'GNOME', 8892, 7)
('Terrance Potter', 'BARBARIAN', 'HALF_ORC', 5213, 19)
('Hayley Allen', 'BARBARIAN', 'GNOME', 10712, 3)
('Denise Fisher', 'BARBARIAN', 'TIEFLING', 17536, 10)
('Tracy Rodriguez', 'BARBARIAN', 'HALFLING', 4853, 20)
('Elizabeth Riggs', 'ARTIFICER', 'HALF_ORC', 9782, 17)
('Audrey Lopez', 'SORCERER', 'HALFLING', 1804, 2)
('Melody Diaz', 'BARD', 'DRAGONBORN', 18162, 6)
('Andrew Hood', 'BARBARIAN', 'DWARF', 9744, 12)
('Angela Davidson', 'RANGER', 'TIEFLING', 15867, 3)
('Lisa Peterson', 'SORCERER', 'HALF_ELF', 1900, 14)
('Billy Taylor', 'RANGER', 'HUMAN', 17912, 15)
('Sheri Jensen', 'BARD', 'HALFLING', 3692, 11)
('Jessica Daniels', 'ROGUE', 'HUMAN', 15553, 2)
('Robert Ramsey', 'ROGUE', 'DRAGONBORN', 6088, 4)
('Randy Gray', 'BARD', 'HALFLING', 14779, 3)
('James Gonzalez', 'PALADIN', 'HALFLING', 13428, 20)
('Dennis Ward', 'PALADIN', 'TIEFLING', 15623, 20)
('Justin Sanchez', 'ROGUE', 'HALFLING', 9421, 2)
('Claire Robinson', 'BARD', 'HALF_ORC', 14210, 19)
('Donna Conner', 'MONK', 'DWARF', 6757, 7)
('Isaac Conner', 'RANGER', 'DWARF', 12458, 3)
('Kara Griffin', 'BARD', 'HALFLING', 4582, 6)
('David Arnold', 'FIGHTER', 'HALF_ELF', 11101, 12)
('Donna Valentine', 'CLERIC', 'DWARF', 8084, 18)
('Julia Sanders', 'CLERIC', 'DWARF', 18765, 19)
('Leah Villarreal', 'BARBARIAN', 'TIEFLING', 326, 1)
('Joshua Brock', 'RANGER', 'GNOME', 15029, 8)
('Vincent Harris', 'PALADIN', 'HALFLING', 14092, 14)
('Derek Newman', 'FIGHTER', 'DRAGONBORN', 4756, 19)
('Robert Sanders', 'SORCERER', 'GNOME', 2121, 8)
('Monique Edwards', 'BARBARIAN', 'GNOME', 8093, 20)
('Amanda Rush', 'BARBARIAN', 'HUMAN', 16131, 6)
('George Smith', 'SORCERER', 'HALF_ELF', 14254, 15)
('Christopher Nelson', 'CLERIC', 'TIEFLING', 17456, 19)
('James Mitchell', 'DRUID', 'GNOME', 15581, 17)
('Brian Collins', 'PALADIN', 'HALF_ELF', 4330, 19)
('Russell Hoover', 'SORCERER', 'HALF_ORC', 9680, 7)
('Sally Lewis', 'PALADIN', 'HALFLING', 16992, 13)
('Brent Smith', 'SORCERER', 'HALF_ORC', 17330, 1)
('Nicholas Moore', 'CLERIC', 'ELF', 3998, 18)
('Jonathan Compton', 'FIGHTER', 'DRAGONBORN', 8920, 6)
('Leslie Reynolds', 'DRUID', 'ELF', 7973, 6)
('James Henderson', 'WARLOCK', 'DRAGONBORN', 2328, 13)
('Christy Johnson', 'BARBARIAN', 'HUMAN', 15976, 14)
('Mr. Patrick Ross', 'BARD', 'GNOME', 17552, 4)
('Anne Mclean', 'WARLOCK', 'DWARF', 16557, 4)
('Mark Hunt', 'RANGER', 'DWARF', 18442, 17)
('Stephanie Koch', 'BARD', 'GNOME', 885, 6)
('Kyle Conway', 'MONK', 'HALF_ORC', 7753, 7)
('Shannon Miller', 'DRUID', 'DWARF', 2650, 17)
('Louis Sanders', 'ARTIFICER', 'HALF_ORC', 11154, 13)
('Heather Alexander', 'WIZARD', 'GNOME', 18122, 15)
('Elizabeth Miller', 'DRUID', 'DRAGONBORN', 9812, 11)
('Seth Armstrong', 'FIGHTER', 'TIEFLING', 197, 2)
('Michael Smith', 'ROGUE', 'TIEFLING', 16745, 14)
('Tina Patterson', 'WARLOCK', 'GNOME', 5783, 6)
('Marcus Brown', 'WIZARD', 'DRAGONBORN', 16638, 14)
('Michelle Rubio', 'CLERIC', 'HALFLING', 973, 9)
('Tracy Casey', 'WIZARD', 'TIEFLING', 19528, 17)
('Alyssa Shea', 'FIGHTER', 'HUMAN', 1616, 9)
('Daniel Jones', 'PALADIN', 'HALFLING', 5349, 3)
('Mr. Corey Mayo', 'SORCERER', 'DWARF', 15186, 1)
('Joel Gutierrez', 'BARD', 'ELF', 381, 11)
('Cindy Evans', 'RANGER', 'DWARF', 12336, 7)
('William David', 'ARTIFICER', 'HALFLING', 9360, 9)
('Katherine Livingston', 'ROGUE', 'HALF_ELF', 4915, 6)
('Christopher Dyer', 'ROGUE', 'ELF', 574, 12)
('Bailey Patel', 'PALADIN', 'HALFLING', 14185, 2)
('Patricia Martin', 'RANGER', 'HALFLING', 13713, 12)
('Vickie Vasquez', 'WIZARD', 'HALFLING', 3622, 20)
('Charles Martin', 'ROGUE', 'DRAGONBORN', 388, 15)
('Joy Hobbs', 'CLERIC', 'GNOME', 5211, 2)
('Andrea Clark', 'WIZARD', 'HUMAN', 2440, 1)
('Christopher Gonzalez', 'CLERIC', 'HUMAN', 15691, 12)
('Jennifer Robbins', 'MONK', 'GNOME', 15913, 20)
('Mary Ray', 'ARTIFICER', 'GNOME', 4393, 5)
('Amanda Rodriguez', 'MONK', 'HALF_ORC', 8591, 16)
('Andrew Miller', 'BARD', 'HALFLING', 15501, 4)
('Alicia Romero', 'BARBARIAN', 'ELF', 4023, 2)
('Jocelyn Torres', 'PALADIN', 'DWARF', 7019, 15)
('Allison Harris', 'FIGHTER', 'TIEFLING', 12832, 8)
('Jason Simpson DDS', 'CLERIC', 'HALFLING', 6273, 20)
('Ann Simmons', 'BARBARIAN', 'TIEFLING', 8008, 14)
('Sarah Mahoney', 'ROGUE', 'GNOME', 5598, 11)
('Veronica Thompson', 'DRUID', 'HUMAN', 15169, 13)
('Lisa Vargas', 'ARTIFICER', 'DWARF', 9806, 16)
('Amber Fox', 'MONK', 'DWARF', 13123, 12)
('Frank Brown', 'DRUID', 'HUMAN', 5758, 2)
('Angela Jones', 'BARD', 'ELF', 435, 20)
('Andrew Watson', 'CLERIC', 'TIEFLING', 427, 20)
('Tina Jackson', 'BARD', 'HALF_ORC', 4417, 15)
('David Tyler', 'BARD', 'TIEFLING', 6476, 11)
('Donna Griffin', 'ROGUE', 'HALF_ELF', 2446, 8)
('Kevin Douglas', 'BARBARIAN', 'HALF_ORC', 18812, 6)
('Christy Murphy', 'ROGUE', 'DWARF', 2122, 16)
('Melissa Vaughn', 'SORCERER', 'DWARF', 19790, 15)
('Maria Myers', 'SORCERER', 'GNOME', 4195, 14)
('Gerald Brown', 'WARLOCK', 'HALFLING', 9695, 13)
('Christy Wood', 'ARTIFICER', 'HALF_ELF', 318, 5)
('Paula Dixon', 'ROGUE', 'GNOME', 15740, 10)
('Brandon Duarte', 'PALADIN', 'ELF', 9198, 1)
('Jacqueline Alvarez', 'FIGHTER', 'HUMAN', 2302, 10)
('Jennifer Fleming', 'BARD', 'DRAGONBORN', 6578, 1)
('Melissa Valentine', 'MONK', 'GNOME', 2190, 18)
('Jeffrey Nguyen', 'BARBARIAN', 'GNOME', 16245, 9)
('Elizabeth Webb', 'SORCERER', 'TIEFLING', 19716, 4)
('Amanda Brown', 'WIZARD', 'HALF_ELF', 18641, 4)
('Carolyn Camacho', 'PALADIN', 'ELF', 2451, 17)
('Robert Cooper', 'RANGER', 'GNOME', 18539, 8)
('Amy Jackson', 'DRUID', 'GNOME', 1913, 14)
('Jesus Leach', 'RANGER', 'DRAGONBORN', 8474, 3)
('Nicholas Cummings', 'WARLOCK', 'DWARF', 843, 4)
('Kimberly Brown', 'SORCERER', 'HUMAN', 8905, 12)
('Jessica Alexander', 'FIGHTER', 'GNOME', 18306, 2)
('Joshua Rodriguez', 'ARTIFICER', 'GNOME', 16545, 16)
('Mariah Jackson', 'WARLOCK', 'HUMAN', 7021, 13)
('Tracie Cruz', 'BARBARIAN', 'HALF_ORC', 1405, 3)
('Michael Thomas', 'RANGER', 'TIEFLING', 5141, 10)
('Benjamin Adams', 'BARD', 'DRAGONBORN', 8274, 3)
('Heather Phillips', 'SORCERER', 'GNOME', 17097, 3)
('Jason Hernandez', 'BARBARIAN', 'TIEFLING', 17469, 4)
('Heather Sweeney', 'DRUID', 'HALFLING', 17613, 18)
('Tyler Carson', 'BARD', 'GNOME', 7962, 14)
('Brian Hendrix', 'WARLOCK', 'DRAGONBORN', 13319, 9)
('Ronald Horton', 'WIZARD', 'HALFLING', 19232, 12)
('Mark Brown', 'BARBARIAN', 'HALF_ELF', 5634, 20)
('Jeremy Villegas', 'MONK', 'TIEFLING', 3208, 1)
('Mary Elliott', 'WARLOCK', 'DWARF', 16997, 14)
('Charles Clark', 'DRUID', 'DRAGONBORN', 17873, 2)
('Douglas Price', 'MONK', 'HALF_ELF', 1358, 14)
('John Taylor', 'BARD', 'HALF_ORC', 11270, 4)
('Veronica Reed', 'MONK', 'TIEFLING', 17108, 6)
('Terri Wilkinson', 'SORCERER', 'HALF_ORC', 18295, 4)
('Paula Sharp', 'PALADIN', 'ELF', 8843, 1)
('Jordan Benton', 'ROGUE', 'HALFLING', 1540, 11)
('Rebecca Olsen', 'ROGUE', 'HALF_ELF', 10285, 3)
('Jennifer Rollins', 'SORCERER', 'HUMAN', 18966, 18)
('Justin Graves', 'WARLOCK', 'HALFLING', 18744, 16)
('Raymond Johnson', 'MONK', 'HALF_ORC', 3008, 15)
('Emma Moore', 'CLERIC', 'HALF_ORC', 19066, 18)
('Allison Reyes', 'RANGER', 'DRAGONBORN', 17749, 20)
('Charles Walker', 'ROGUE', 'TIEFLING', 4197, 20)
('Marcus Turner', 'WARLOCK', 'HALF_ORC', 14102, 16)
('Lisa Merritt', 'WIZARD', 'HALFLING', 13876, 4)
('Stephanie Delgado', 'ARTIFICER', 'ELF', 2983, 20)
('Stacey Miller', 'BARD', 'TIEFLING', 7410, 6)
('Daniel Mcclain', 'DRUID', 'TIEFLING', 6309, 18)
('Isaiah Ortega', 'MONK', 'DWARF', 11505, 5)
('Jennifer Watson', 'FIGHTER', 'HALF_ELF', 16873, 10)
('Erika Ramos', 'WIZARD', 'GNOME', 10343, 7)
('Nicole Wilson MD', 'ROGUE', 'DWARF', 7119, 4)
('Jeremy Lamb', 'PALADIN', 'HUMAN', 12546, 13)
('Tammy Brown', 'PALADIN', 'HALFLING', 8365, 17)
('Hannah Jackson', 'PALADIN', 'HALFLING', 19136, 10)
('Cynthia Bowman', 'WIZARD', 'ELF', 3574, 17)
('Marcia Sandoval', 'SORCERER', 'DRAGONBORN', 1463, 9)
('Erik Schmidt', 'RANGER', 'ELF', 4305, 15)
('Jason Harrison', 'MONK', 'ELF', 12362, 15)
('Jeffrey Trujillo', 'DRUID', 'TIEFLING', 9359, 17)
('William Russell', 'DRUID', 'GNOME', 10473, 19)
('Rhonda Wyatt', 'CLERIC', 'ELF', 19374, 12)
('Mark Schmidt', 'BARBARIAN', 'HALFLING', 1362, 15)
('John Jackson Jr.', 'RANGER', 'GNOME', 7830, 15)
('Taylor Ayala MD', 'PALADIN', 'DRAGONBORN', 11909, 5)
('Karen Carson', 'WARLOCK', 'HALF_ELF', 17520, 17)
('Jennifer Walker', 'RANGER', 'HUMAN', 18966, 2)
('Felicia Keith', 'WIZARD', 'HALFLING', 11857, 7)
('Crystal Wood', 'RANGER', 'HALF_ELF', 1619, 16)
('Laura White', 'DRUID', 'HALF_ELF', 12305, 15)
('Steven Frederick', 'ROGUE', 'DWARF', 5031, 13)
('Tamara Hughes', 'BARBARIAN', 'HUMAN', 5478, 20)
('Eric Newman', 'BARBARIAN', 'GNOME', 6376, 11)
('Alyssa Cooper', 'BARD', 'HUMAN', 16447, 20)
('Jesse Lambert', 'DRUID', 'HUMAN', 2083, 9)
('Gary Miller', 'ARTIFICER', 'HUMAN', 5124, 9)
('Paul Davis', 'MONK', 'HALF_ORC', 829, 13)
('Cindy Marshall', 'CLERIC', 'ELF', 12312, 1)
('Bradley Rivera', 'DRUID', 'GNOME', 9471, 20)
('Heather Leonard', 'RANGER', 'ELF', 14706, 20)
('Anna Hoover', 'FIGHTER', 'DRAGONBORN', 3255, 11)
('Daniel Schwartz', 'BARBARIAN', 'DRAGONBORN', 13589, 15)
('Michelle Irwin', 'MONK', 'DRAGONBORN', 61, 12)
('Monica Kennedy', 'WIZARD', 'TIEFLING', 16221, 11)
('Elizabeth Thompson', 'CLERIC', 'ELF', 12761, 1)
('Sandra Pitts', 'SORCERER', 'HALFLING', 3258, 11)
('Christian Martin', 'DRUID', 'HALF_ELF', 925, 8)
('Christopher Williams', 'WARLOCK', 'ELF', 5873, 15)
('Crystal Payne', 'WIZARD', 'HALF_ORC', 36, 4)
('Melissa Summers', 'FIGHTER', 'ELF', 6304, 1)
('David Harrison', 'ROGUE', 'DRAGONBORN', 4887, 16)
('Rachael Foster', 'SORCERER', 'DRAGONBORN', 15730, 20)
('Kelsey Wilkins', 'ROGUE', 'HALFLING', 18868, 20)
('Lisa Parker', 'RANGER', 'HALFLING', 3974, 12)
('Connor Robinson', 'CLERIC', 'HALF_ELF', 1224, 11)
('Raymond Thompson', 'WARLOCK', 'ELF', 442, 6)
('Dwayne George', 'BARD', 'HALF_ORC', 12411, 20)
('Ashley Harris', 'BARBARIAN', 'HUMAN', 2118, 16)
('Alex Burke', 'MONK', 'HALF_ORC', 2453, 11)
('Jordan Smith', 'MONK', 'DWARF', 994, 12)
('Brenda Davis', 'CLERIC', 'HALFLING', 17736, 12)
('Tammy Lester', 'WIZARD', 'HALFLING', 9004, 8)
('Lauren Cummings', 'FIGHTER', 'HALF_ELF', 16156, 9)
('Terry Wright', 'ROGUE', 'DWARF', 1360, 6)
('Daniel Lee', 'BARD', 'DRAGONBORN', 11503, 16)
('Michael Raymond', 'SORCERER', 'DWARF', 13524, 18)
('Dr. Michael Gonzalez MD', 'RANGER', 'HALF_ORC', 3471, 9)
('Lisa Wheeler', 'FIGHTER', 'DRAGONBORN', 15901, 12)
('Thomas Brooks', 'FIGHTER', 'HALFLING', 5425, 14)
('Daisy Rodriguez', 'WARLOCK', 'HALFLING', 12038, 5)
('Eric Mcgee', 'PALADIN', 'HALF_ELF', 2000, 9)
('Clayton Castro', 'MONK', 'DWARF', 10598, 13)
('Megan Rivera', 'SORCERER', 'TIEFLING', 17296, 15)
('Barbara Mcgee', 'BARD', 'DRAGONBORN', 531, 2)
('Sonya Gomez', 'DRUID', 'HUMAN', 16983, 11)
('Johnny Maynard', 'BARD', 'HUMAN', 16454, 4)
('Dustin Mcdonald', 'BARBARIAN', 'GNOME', 15222, 18)
('Taylor Davis', 'WARLOCK', 'TIEFLING', 14550, 1)
('Sarah Morris', 'PALADIN', 'ELF', 3851, 17)
('Michael Dunlap', 'MONK', 'HALFLING', 16361, 9)
('Christina Rose', 'CLERIC', 'GNOME', 14947, 3)
('Logan Hammond', 'BARD', 'GNOME', 6036, 1)
('Debbie Dean', 'FIGHTER', 'DRAGONBORN', 17626, 5)
('Amanda Howard', 'DRUID', 'ELF', 13320, 17)
('Adrian Lane', 'ROGUE', 'HALF_ELF', 2509, 17)
('Hannah Kane', 'SORCERER', 'ELF', 10923, 9)
('Nicholas Cummings', 'WIZARD', 'HALF_ORC', 12150, 19)
('Stephanie Brown', 'DRUID', 'HUMAN', 13088, 9)
('Lance Turner', 'FIGHTER', 'HALF_ORC', 6497, 15)
('Miranda Bowman', 'MONK', 'HALF_ELF', 2414, 8)
('David Marsh', 'FIGHTER', 'TIEFLING', 19209, 17)
('Alexandria Cook', 'PALADIN', 'HALF_ORC', 6902, 1)
('Blake Dixon', 'ROGUE', 'DWARF', 8372, 2)
('Jeremy Evans', 'MONK', 'GNOME', 6696, 20)
('Travis Anderson', 'BARD', 'HALF_ORC', 3597, 5)
('Caitlyn Lewis', 'WARLOCK', 'DWARF', 4379, 19)
('Catherine Haynes', 'BARBARIAN', 'GNOME', 9951, 17)
('Michael Hudson', 'WIZARD', 'HALF_ORC', 15229, 7)
('Ashley Smith', 'WARLOCK', 'HALFLING', 2867, 11)
('Eric Pollard', 'ARTIFICER', 'TIEFLING', 4704, 12)
('Holly Reed', 'MONK', 'GNOME', 12911, 7)
('Amber Gonzales', 'BARBARIAN', 'HALF_ELF', 17514, 17)
('Robert Jackson', 'RANGER', 'GNOME', 1960, 11)
('Tyler Alvarez', 'PALADIN', 'HALF_ORC', 4956, 14)
('Eric Hill', 'WARLOCK', 'HALF_ORC', 5278, 1)
('Aaron Harris', 'CLERIC', 'TIEFLING', 11677, 16)
('Anthony Gonzalez', 'CLERIC', 'HUMAN', 4385, 6)
('Ariel Burns', 'WARLOCK', 'HUMAN', 12026, 10)
('David Dixon', 'SORCERER', 'HALFLING', 8446, 12)
('Stacey Russell', 'MONK', 'HALF_ELF', 5839, 15)
('Zachary James', 'FIGHTER', 'HALF_ELF', 9653, 7)
('Amanda Hernandez', 'FIGHTER', 'DWARF', 11393, 7)
('William Stewart', 'CLERIC', 'DRAGONBORN', 1630, 2)
('Jessica Mendoza', 'ROGUE', 'HALF_ORC', 8306, 11)
('Tiffany Perez', 'WARLOCK', 'GNOME', 15127, 5)
('Donna Newman', 'BARD', 'HALF_ELF', 7620, 20)
('Juan Solis', 'RANGER', 'HALF_ORC', 1784, 8)
('Joseph Wilson', 'ROGUE', 'DRAGONBORN', 3448, 9)
('Jason Fisher', 'ARTIFICER', 'TIEFLING', 13666, 9)
('Jennifer Miles', 'WIZARD', 'TIEFLING', 3309, 14)
('Lisa Johnson', 'DRUID', 'DRAGONBORN', 1485, 20)
('Ashley Reed', 'SORCERER', 'HUMAN', 15223, 10)
('Anthony Alexander', 'DRUID', 'DRAGONBORN', 11061, 16)
('Susan May', 'DRUID', 'HUMAN', 15877, 7)
('Jerome Taylor', 'WIZARD', 'HALFLING', 13067, 18)
('Kimberly Harris', 'CLERIC', 'HALFLING', 10379, 12)
('Michael Woods', 'WARLOCK', 'HALFLING', 13226, 3)
('Victoria Ashley', 'MONK', 'HALFLING', 8937, 8)
('Tiffany Humphrey', 'DRUID', 'DWARF', 11580, 20)
('Jason Smith', 'PALADIN', 'HALF_ELF', 538, 17)
('Kevin Cortez', 'ARTIFICER', 'HALFLING', 10807, 6)
('Mr. Bradley Moore', 'FIGHTER', 'ELF', 18783, 3)
('Victor Martin', 'WIZARD', 'DWARF', 775, 15)
('Michael Bryan', 'ROGUE', 'HALF_ORC', 3546, 13)
('Andrea Macias', 'MONK', 'GNOME', 5397, 1)
('Riley Gordon', 'FIGHTER', 'HUMAN', 15837, 11)
('Ronald Ward', 'RANGER', 'TIEFLING', 6900, 2)
('Amanda Russell', 'PALADIN', 'HALF_ELF', 15192, 2)
('Natasha Rodriguez', 'BARD', 'HALF_ELF', 10931, 5)
('James Parker', 'MONK', 'HALF_ELF', 5830, 7)
('Sarah Simpson', 'SORCERER', 'GNOME', 11955, 18)
('David Cook', 'RANGER', 'HALF_ORC', 19439, 20)
('Scott Patterson', 'PALADIN', 'ELF', 9433, 2)
('Henry Padilla', 'DRUID', 'TIEFLING', 13709, 15)
('Chad Williams', 'CLERIC', 'HUMAN', 10170, 18)
